,unique_values,counts
0,Clear,611820
1,Mostly Cloudy,370397
2,Fair,328450
3,Overcast,320036
4,Partly Cloudy,264874
5,Scattered Clouds,175206
6,Light Rain,127851
7,Cloudy,113518
8,Light Snow,38699
9,Rain,29336
10,Haze,25357
11,Fog,16070
12,Heavy Rain,11095
13,Light Drizzle,9107
14,Light Thunderstorms and Rain,4450
15,Snow,4233
16,Thunderstorm,4029
17,Fair / Windy,3706
18,Smoke,2760
19,Heavy Thunderstorms and Rain,2340
20,Thunder in the Vicinity,2130
21,T-Storm,2115
22,Cloudy / Windy,2055
23,Thunderstorms and Rain,2032
24,Mostly Cloudy / Windy,1967
25,Light Freezing Rain,1939
26,Light Rain with Thunder,1909
27,Thunder,1625
28,Drizzle,1603
29,Partly Cloudy / Windy,1300
30,Patches of Fog,1289
31,Mist,1267
32,Heavy T-Storm,1239
33,Heavy Snow,1118
34,Light Rain / Windy,1033
35,Wintry Mix,789
36,Light Freezing Drizzle,760
37,Shallow Fog,625
38,Light Freezing Fog,479
39,Light Snow / Windy,448
40,Rain / Windy,298
41,Showers in the Vicinity,262
42,Blowing Snow,255
43,Light Ice Pellets,247
44,Heavy Drizzle,205
45,N/A Precipitation,156
46,Heavy Rain / Windy,148
47,Heavy T-Storm / Windy,145
48,Light Rain Showers,136
49,Widespread Dust,128
50,T-Storm / Windy,127
51,Ice Pellets,98
52,Rain Showers,95
53,Thunder / Windy,80
54,Haze / Windy,66
55,Drizzle and Fog,65
56,Blowing Dust / Windy,64
57,Fog / Windy,56
58,Light Rain Shower,52
59,Snow / Windy,46
60,Blowing Dust,43
61,Light Drizzle / Windy,28
62,Small Hail,28
63,Sand / Dust Whirlwinds,27
64,Squalls,26
65,Light Snow Showers,23
66,Heavy Snow / Windy,23
67,Light Thunderstorms and Snow,22
68,Wintry Mix / Windy,20
69,Freezing Rain,17
70,Funnel Cloud,13
71,Light Haze,10
72,Blowing Snow / Windy,10
73,Partial Fog,10
74,Snow and Sleet,9
75,Light Snow and Sleet,9
76,Snow and Sleet / Windy,9
77,Light Snow with Thunder,9
78,Heavy Thunderstorms with Small Hail,7
79,Heavy Rain Showers,7
80,Smoke / Windy,7
81,Heavy Snow with Thunder,6
82,Rain Shower,6
83,Heavy Sleet,6
84,Light Freezing Rain / Windy,6
85,Light Snow Grains,6
86,Squalls / Windy,5
87,Heavy Thunderstorms and Snow,5
88,Low Drifting Snow,5
89,Drizzle / Windy,4
90,Light Snow and Sleet / Windy,4
91,Heavy Blowing Snow,4
92,Heavy Ice Pellets,4
93,Snow Grains,4
94,Light Fog,3
95,Thunderstorms and Snow,3
96,Light Sleet,3
97,Light Hail,3
98,Sleet,3
99,Light Blowing Snow,3
100,Hail,2
101,Tornado,2
102,Sand / Dust Whirlwinds / Windy,2
103,Heavy Freezing Drizzle,2
104,Light Thunderstorm,2
105,Heavy Freezing Rain,2
106,Snow Showers,2
107,Blowing Sand,1
108,Freezing Rain / Windy,1
109,Light Snow Shower,1
110,Thunder / Wintry Mix / Windy,1
111,Snow and Thunder,1
112,Widespread Dust / Windy,1
113,Partial Fog / Windy,1
114,Dust Whirls,1
115,Light Rain Shower / Windy,1
116,Thunder and Hail / Windy,1
